Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Unlock Excel VBA and Excel Macros,www.udemy.com/course/excel-vba-and-macros-course/,Leila Gharani,199.99,11.99,"4.6(11,607 ratings)",Office Productivity,Microsoft,Excel VBA,"52,954",English,Automate Complex Tasks with Microsoft Excel VBA & Excel Macros (Real-World Projects included). Achieve More. Save time.,11/2019,12/31/19
Master Microsoft Excel Macros and Excel VBA,www.udemy.com/course/master-microsoft-excel-macros-and-vba-with-5-simple-projects/,Kyle Pew,49.99,11.39,"4.5(6,931 ratings)",Office Productivity,Microsoft,Excel VBA,"30,430",English,Project Based Course on Excel VBA (Visual Basic for Applications) and Excel Macros,2/2018,12/31/19
Excel VBA Programming - The Complete Guide,www.udemy.com/course/excel-vba-programming/,Boris Paskhaver,199.99,13.19,"4.5(2,490 ratings)",Office Productivity,Microsoft,Excel VBA,"58,330",English,"Automate your Excel workflow, accelerate your productivity, and master the fundamentals of programming with VBA!",12/2019,12/31/19
Complete Web Automation with Excel VBA,www.udemy.com/course/complete-web-automation-with-excel-vba/,Daniel Strong,199.99,11.39,4.7(399 ratings),Development,Programming Languages,Excel VBA,"2,957",English,"Fill Out Web Forms Dynamically, Navigate Web Pages Intuitively, And Extract & Manipulate Data To Increase Efficiency!",11/2019,12/31/19
Excel VBA & Microsoft Outlook Mastery and Automation,www.udemy.com/course/excel-vba-microsoft-outlook-mastery-and-automation/,Daniel Strong,179.99,11.39,4.5(18 ratings),Development,Programming Languages,Excel VBA,411,English,"Create And Manipulate Outlook Emails, Attachments, Calendars, Tasks, and Contacts Automatically With Excel VBA",11/2019,12/31/19
Excel VBA - The Complete Excel VBA Course for Beginners,www.udemy.com/course/excel-vba-course/,Alan Murray,94.99,14.39,"4.4(1,009 ratings)",Office Productivity,Microsoft,Excel VBA,"6,345",English,Learn Excel VBA and take your spreadsheets to the next level.,3/2019,12/31/19
The Ultimate Excel VBA Arrays Course,www.udemy.com/course/the-ultimate-excel-vba-arrays-course/,Daniel Strong,119.99,11.39,4.6(317 ratings),Development,Programming Languages,Excel VBA,"2,035",English,Learn To Manipulate Data Invisibly and At Lightning Speeds with Arrays!,4/2019,12/31/19
Introduction to Microsoft Excel VBA,www.udemy.com/course/introduction-to-microsoft-excel-vba/,Kyle Pew,149.99,11.39,4.8(379 ratings),Office Productivity,Microsoft,Excel VBA,"1,823",English,"Learn Microsoft Excel VBA Fundamentals (Excel 2010, 2013, 2016)",11/2017,12/31/19
Ultimate Excel VBA,www.udemy.com/course/ultimate-excel-vba/,Mark Talbert,24.99,11.39,"4.5(2,818 ratings)",Office Productivity,Microsoft,Excel VBA,"10,819",English,Programming for the Business Professional,8/2013,12/31/19
The Ultimate Excel VBA Userform with Access Database,www.udemy.com/course/excel-userform-vba/,BY MMB,164.99,11.39,4.8(39 ratings),Office Productivity,Microsoft,Excel VBA,"1,024",English,"Build Your Own Real World Program, Learn Real Excel VBA(Macros), Exceed The Limits of Excel with Complete Project",12/2019,12/31/19
Excel VBA Exercises and Real-World Projects,www.udemy.com/course/excel-vba-exercises-and-projects/,Karen Tateosyan,124.99,11.39,4.5(73 ratings),Office Productivity,Microsoft,Excel VBA,804,English,Create your own tools from scratch with Excel VBA!,2/2019,12/31/19
Excel VBA: How to Write Macros Like a Professional,www.udemy.com/course/excel-vba-how-to-write-like-a-professional/,Paul Kelly,199.99,11.39,4.4(665 ratings),Office Productivity,Microsoft,Excel VBA,"4,675",English,Learn how to write real-world Excel VBA Macros from scratch. No experience required!,9/2018,12/31/19
Excel with Microsoft Excel VBA User Forms,www.udemy.com/course/excel-with-microsoft-excel-vba-user-forms/,Kyle Pew,74.99,11.39,4.5(614 ratings),Office Productivity,Microsoft,Excel VBA,"3,581",English,Learn to Create and Program Microsoft Excel VBA User Forms like a Pro,9/2016,12/31/19
Microsoft Excel Essentials: Level 3 - VBA Programming+Macros,www.udemy.com/course/excel-essentials-level-3-vba-programming/,Alan Jarvis,149.99,11.39,4.5(780 ratings),Office Productivity,Microsoft,Excel VBA,"4,175",English,Turbocharge Excel with VBA! From Helper Programs to Complete Solutions With Excel VBA - Excel 2010 Excel 2013 Excel 2016,11/2019,12/31/19
Visual Basic for Excel - Microsoft VBA Excel Tutorial,www.udemy.com/course/learning-visual-basic-for-microsoft-excel/,Infinite Skills,49.99,11.39,"4.5(1,523 ratings)",Office Productivity,Microsoft,Excel VBA,"13,461",English,"Master Visual Basic for Excel, learn to unlock the true power of Excel. Tutorial Taught by a leading Microsoft Expert",1/2017,12/31/19
Excel VBA to PDF Forms Mastery Course,www.udemy.com/course/excel-vba-to-pdf-forms-mastery-course/,Daniel Strong,119.99,11.39,4.3(91 ratings),Office Productivity,Microsoft,Excel VBA,920,"English
 ","Stop Filling Forms the Hard Way, Use Excel To Automate Your Workflow!",9/2019,12/31/19
Excel VBA Macros: Hyper-disambiguated Excel VBA Programming,www.udemy.com/course/hyper-disambiguated-excel-vba-programming/,Grant Gamble,124.99,11.99,4.4(717 ratings),IT & Software,Other,Excel VBA,"5,456",English,"Learn Excel VBA macros, using clean, clear VBA programming techniques and code that you fully understand",11/2017,12/31/19
Excel VBA ANIMATION for dashboard report chart visualization,www.udemy.com/course/microsoft-excel-animation-for-great-user-experience/,Kishon Deori,79.99,11.99,4.6(334 ratings),Office Productivity,Microsoft,Excel VBA,"2,285",English,Easily create impressive interactive dynamic Excel projects with animation. Exercise files included for fast learning,3/2019,12/31/19
Visual Basic for Applications - Excel VBA - The full course,www.udemy.com/course/visual-basic-for-applications-the-complete-course/,Daniele Protti,99.99,11.99,4.0(216 ratings),IT & Software,Other,"Excel VBA
 ","2,619",English,Learn how to do macros in EXCEL VBA and applications to automate Microsoft Excel with Visual Basic for applications,9/2019,12/31/19
"Excel VBA Formulas, Functions, UDFs + Create Your Own AddIn!",www.udemy.com/course/excel-vba-formulas-functions-udfs-create-your-own-addin/,Daniel Strong,104.99,11.99,3.4(60 ratings),Development,Programming Languages,Excel VBA,557,English,"Learn Built-In VBA Functions, Build Your Own Custom UDF (User-Defined Functions) and Learn To Share Them!",4/2019,12/31/19
"Advanced Microsoft Excel - Formulas, Functions, Macros & VBA",www.udemy.com/course/microsoft-excel-advanced-formulas-function-macros-vba/,Brian Wells,154.99,11.99,4.3(50 ratings),Office Productivity,Microsoft,Excel VBA,296,English,"Become an Excel Expert in this Advanced Excel Course (Microsoft Excel 2010, Excel 2013, Excel 2016, and Excel 2019)",3/2019,12/31/19
Excel VBA: The VBA Beginner's Blueprint to Programming Excel,www.udemy.com/course/vba-excel/,IsáBel .,199.99,11.99,4.6(303 ratings),Office Productivity,Microsoft,Excel VBA,"3,084",English,You're Minutes Away From Learning How To Program Excel!,10/2019,12/31/19
Excel Macros & Excel VBA Programming for Beginners,www.udemy.com/course/excel-macros-excel-vba-for-non-programmers/,Andreas Exadaktylos,49.99,11.99,4.6(408 ratings),Office Productivity,Microsoft,Excel Macros,"1,705",English,Become a proficient Excel Macros Programmer in very short time + Excel VBA for beginners. Excel 2016 Templates included.,12/2019,12/31/19
Using Excel as a database with VBA,www.udemy.com/course/using-excel-as-a-database-with-vba/,Daniele Protti,199.99,11.99,3.0(52 ratings),Office Productivity,Microsoft,Excel VBA,540,English,Connect Excel to external data using VBA and turn it into a database or application to manage data from different source,7/2019,12/31/19
Excel Automation: Learn VBA & Macros From Scratch!,www.udemy.com/course/excel-automation-learn-vba-macros-from-scratch/,Kamal Vaswani,189.99,11.99,4.4(91 ratings),Office Productivity,Microsoft,Excel VBA,336,English,"Learn how to use VBA, to build your own custom Automations in Excel|Simple most language used for Absolute Beginners",11/2019,12/31/19
Excel VBA for Business: Barcodes,www.udemy.com/course/barcodes-excelvba/,Daniel Strong,79.99,11.99,4.1(60 ratings),Office Productivity,Microsoft,Excel VBA,"3,992",English,Excel VBA guide to make your own Excel VBA Programs to simplify your life using Barcodes! Step by step inventory system!,8/2019,12/31/19
Excel Macros - a friendly and effective quickstart in VBA,www.udemy.com/course/excel-macros-a-friendly-and-effective-quickstart-in-vba/,Valentin Ilicea,99.99,11.99,4.8(20 ratings),Office Productivity,Microsoft,Excel VBA,87,English,Enter the magical world of the Excel VBA automation. Start to create Excel macros and save time from the first lesson,12/2019,12/31/19
MIS Professional - Advance Excel + Macro  + Access + SQL,www.udemy.com/course/mis-professional-excel-macro-access-sql/,Himanshu Dhar,64.99,11.99,4.6(53 ratings),Office Productivity,Microsoft,Excel VBA,653,English,MIS Training - Complete Data Management with Basic to Expert level Excel and and Automation Macro,10/2018,12/31/19
VBA WEB - Connect Excel to the WEB with VBA,www.udemy.com/course/vba-web-connect-excel-to-the-web-with-vba/,Daniele Protti,199.99,11.99,3.0(48 ratings),Office Productivity,Microsoft,Excel VBA,308,English,Create VBA Web Scraping Tools to exchange information and data between Excel and the Web,4/2019,12/31/19
Microsoft Excel Engineering (Part 2),www.udemy.com/course/microsoft-excel-engineering-part-2/,Manish Narayan,99.99,11.99,4.1(21 ratings),Office Productivity,Microsoft,Excel VBA,"1,550",English,Spreadsheet Engineering,7/2018,12/31/19
Web Scraping Using Excel VBA - Series 16,www.udemy.com/course/web-scraping-using-excel-vba/,ajay parmar,24.99,11.99,4.4(4 ratings),Office Productivity,Microsoft,Excel VBA,47,English,Web Automation made easy with VBA,10/2019,12/31/19
Macros & VBA Excel,www.udemy.com/course/ioniya-macros-vba-excel/,Parallel Learning,19.99,11.99,"4.0(1,456 ratings)",Office Productivity,Microsoft,Excel Macros,"13,904",English,A well designed course to learn Macros and Visual Basics for Applications in Excel,3/2017,12/31/19
Advanced Excel Formulas and VBA User Defined Functions,www.udemy.com/course/complex-excel-formulas-and-vba-user-defined-functions/,Grant Gamble,199.99,11.39,4.7(66 ratings),Office Productivity,Microsoft,Excel VBA,560,English,Master advanced Excel mega-formulas combining multiple functions and learn to create your own VBA user-defined functions,12/2017,12/31/19
A Gentle Introduction To Advanced Excel Techniques,www.udemy.com/course/a-gentle-introduction-to-advanced-excel-techniques/,Charlie Chiarelli,19.99,11.39,4.9(17 ratings),Office Productivity,Microsoft,Excel VBA,127,English,"Take your EXCEL skills to the next level . Learn basic data analysis , lookup techniques, macros and programming in VBA",12/2018,12/31/19
Excel VBA: Hyper-disambiguated Excel VBA Programming Part 2,www.udemy.com/course/excel-vba-event-programming/,Grant Gamble,124.99,11.39,4.2(23 ratings),IT & Software,Other,Excel VBA,805,English,Master Excel VBA event programming; move beyond simple Excel VBA macros,6/2018,12/31/19
Excel VBA - Macro Training,www.udemy.com/course/excel-vba-macro-training/,Himanshu Dhar,54.99,11.39,4.3(19 ratings),Office Productivity,Microsoft,Excel VBA,526,English,Learn from the Basic till the advance level of Macro. One of the most important MIS tool to increase office productivity,6/2018,12/31/19
Excel VBA - Learn from real case studies and projects,www.udemy.com/course/excel-vba-learn-from-real-case-studies-and-projects/,Daniele Protti,149.99,11.39,3.4(9 ratings),Office Productivity,Microsoft,Excel VBA,245,English,Improve your knowledge in Excel VBA from real case studies of projects of my students and from my works,10/2018,12/31/19
Ultimate Beginners Excel VBA Finance Course for Banking,www.udemy.com/course/ultimate-beginners-vba-finance-course-for-banking/,VBA Finance,194.99,11.39,3.0(172 ratings),Business,Data & Analytics,Excel VBA,"8,156",English,Proven core methodology to master VBA and become competitive on the banking job market.,11/2016,12/31/19
Numerical Methods in EXCEL/VBA PROGRAMING,www.udemy.com/course/learning-programming-numerical-methods-in-excel-vba/,Shams El-Din El-Fouly,199.99,11.39,4.7(37 ratings),Teaching & Academics,Math,Excel Modeling,"5,373",English,Learn the workings of the most common numerical methods and a step by step process on how to program each of them,5/2019,12/31/19
Creating VBA UserForms,www.udemy.com/course/userforms/,Allen Wyatt,49.99,11.39,4.3(51 ratings),Office Productivity,Microsoft,Excel VBA,205,English,Effectively Using Excel and Word Macros to Communicate with Users,2/2018,12/31/19
VBA - manage files and connect MS Office Applications,www.udemy.com/course/vba-manage-files-and-connect-ms-office-applications/,Daniele Protti,109.99,11.39,2.3(6 ratings),Office Productivity,Microsoft,Excel VBA,123,English,"Manage text and binary files with VBA, exchange data, formats, objects and information between MS Office Applications",11/2018,12/31/19
Mastering MS Excel VBA For Beginners,www.udemy.com/course/mastering-ms-excel-vba-for-beginners/,Alvin Pillay,19.99,11.39,4.3(313 ratings),Office Productivity,Microsoft,Excel VBA,"4,233",English,Learning MS Excel VBA from beginner level to advanced level,10/2016,12/31/19
Microsoft Excel 2016 Mac 4: VBA macros for Excel - an intro,www.udemy.com/course/microsoft-excel-2016-mac-4-vba-macros-for-excel-an-intro/,Phillip Burton,99.99,11.39,4.5(22 ratings),Office Productivity,Microsoft,Excel VBA,99,English,Go from Beginner Level of Excel VBA to Intermediate. Create your own Excel Macros in Visual Basic for Applications.,3/2019,12/31/19
Excel VBA Connecting Outlook  Application Series-12,www.udemy.com/course/excel-vba-connecting-outlook-application/,ajay parmar,24.99,11.39,4.4(20 ratings),Office Productivity,Microsoft,Excel VBA,160,English,Studying every possible thing that can be automated in Outlook using VBA.,7/2019,12/31/19
Microsoft Excel Hands on Specialization For Data Analytics,www.udemy.com/course/excel-data-analytics/,"Thinkahead Academy, LLC.",194.99,11.39,4.4(29 ratings),Office Productivity,Microsoft,Excel VBA,175,English,"Learn how to manage, analyze, and visualize data with Excel to transform raw data into ready to use information.",12/2019,12/31/19
Compare two Excel sheets or datasets with Excel VBA Tool,www.udemy.com/course/compare-two-datasets-or-worksheets-with-excel-vba-workbook/,"Prashant Panchal, ACA",99.99,11.39,4.3(9 ratings),Office Productivity,Microsoft,Excel VBA,53,English,"Compare two datasets or sheets, find out newly Added rows, Deleted rows, and CELL level Variances with just a few clicks",10/2019,12/31/19
Excel VBA In Depth USERFORMS Series7,www.udemy.com/course/excel-vba-in-depth-userforms/,ajay parmar,19.99,11.39,4.6(7 ratings),"Development
 ",Programming Languages,Excel VBA,55,English,Covering every type of useful form controls . From their design to coding - i have everything for you here.,12/2018,12/31/19
Master VBA for Excel: Discover How to Put Excel on Autopilot,www.udemy.com/course/master-excel-for-vba-training/,Simon Sez IT,149.99,11.39,4.5(108 ratings),Office Productivity,Microsoft,Excel VBA,"1,670",English,VBA for Excel beginner and intermediate training. Discover how to automate your time-consuming procedures in Excel.,6/2018,12/31/19
MS Excel Professional Training Program from Basic to Advance,www.udemy.com/course/excel-training-program/,Himanshu Dhar,49.99,11.99,4.3(18 ratings),Office Productivity,Microsoft,Excel VBA,"1,650",English,Excel 2010 Basic to advance level training with practicals,8/2018,12/31/19
Excel VBA Coding: Progress Bars and Charts,www.udemy.com/course/excel-vba-coding-progress-bars-and-charts/,Karen Tateosyan,34.99,11.99,4.4(20 ratings),Office Productivity,Microsoft,Excel VBA,194,English,Step-by-step tutorial on creating progress bars in Excel using shapes,12/2018,12/31/19
Excel VBA Blueprint: Build 9 VBA Macros & Automate Excel,www.udemy.com/course/excel-vba-blueprint-build-9-vba-macros-automate-excel/,Sisu Alexandru,94.99,11.99,4.4(31 ratings),Office Productivity,Microsoft,Excel VBA,"1,233",English,Excel VBA Mastery By Creating 9 Practical VBA Macros That Will Automate Your Excel & Teach You How To Code,1/2017,12/31/19
Learn Advanced Excel VBA for Automation,www.udemy.com/course/learn-advanced-excel-macros-and-excel-vba-for-automation/,Yoda Learning,149.99,11.99,4.2(20 ratings),Office Productivity,Microsoft,Excel VBA,115,English,Enable yourself to automate tasks in MS-Excel VBA Macros where you can put Excel VBA on AUTOPILOT,2/2018,12/31/19
Visual Basic For Applications (VBA) - Excel,www.udemy.com/course/visual-basic-for-applications-vba-excel/,Matthew Fried,0.0,19.99,4.5(6 ratings),Development,Programming Languages,Excel VBA,27,English,Being the best of the best of the best at Spreadsheet Programming and Analysis,1/2019,12/31/19
Connect XL & Outlook -Access VBA & Collection Loops Series 7,www.udemy.com/course/connect-excel-using-access-vba-collection-loops-series-7/,ajay parmar,19.99,11.99,4.7(3 ratings),Office Productivity,Microsoft,Excel,29,English,Control Excel and ms Outlook Applications from MS Access VBA plus wonderful collection loops.,9/2019,12/31/19
"Excel 365 VBA, Expert",www.udemy.com/course/excel-365-vba-expert/,Intellezy Trainers,59.99,11.99,5.0(1 rating),Office Productivity,Microsoft,Excel VBA,9,English,Learn proper Visual Basic programming techniques.,7/2019,12/31/19
Excel in Microsoft Excel 4: VBA macros for Excel - an intro,www.udemy.com/course/excel-vba-visual-basic-for-applications-an-introduction/,Phillip Burton,79.99,11.99,4.0(38 ratings),Office Productivity,Microsoft,Excel VBA,181,English,Go from Beginner Level of Excel VBA to Intermediate. Create your own Excel Macros in Visual Basic for Applications.,6/2019,12/31/19
Excel VBA/Macros foundations for beginners,www.udemy.com/course/excelvbajoestopros/,Abdelrahman Abdou,194.99,11.99,4.4(120 ratings),Office Productivity,Microsoft,Excel VBA,807,English,A Beginner's Roadmap to Learning Excel VBA !,8/2019,12/31/19
A beginner’s and intermediate guide to VBA programming,www.udemy.com/course/a-beginners-and-intermediate-guide-to-vba-programming/,Francois Barnard,19.99,11.99,3.3(53 ratings),Office Productivity,Microsoft,Excel VBA,"1,771",English,Learn how to unlock the power of Microsoft's VBA programming language to build effective and powerful programs.,6/2014,12/31/19
Excel VBA Collection Loops - MIS Analytics Training Series3,www.udemy.com/course/excel-vba-collection-loops-mis-analytics-training/,ajay parmar,19.99,11.99,5.0(2 ratings),Development,Programming Languages,Excel VBA,24,English,One of the Best Chapter in VBA- Collection Loops,7/2018,12/31/19
Excel 2010 VBA,www.udemy.com/course/cwexcel-2010-vba/,Intellezy Trainers,59.99,11.99,4.5(201 ratings),Office Productivity,Microsoft,Excel VBA,"1,665",English,This course introduces the user to Excel 2010 macro programming using Microsoftâs Visual Basic for Application (VBA).,2/2018,12/31/19
Excel VBA Awesome Pivots Series10,www.udemy.com/course/excel-vba-awesome-pivots/,ajay parmar,19.99,11.99,5.0(2 ratings),Development,Programming Languages,Excel VBA,31,English,Indepth discussion on every aspect of Pivots,1/2019,12/31/19
Excel VBA Connect with MS Access Series-14,www.udemy.com/course/excel-vba-connect-with-ms-access-series-14/,ajay parmar,19.99,11.99,5.0(2 ratings),Development,Programming Languages,Excel VBA,29,English,Control MS Access with Excel VBA,11/2018,12/31/19
Excel VBA SUPER STRONG ARRAYS Series4,www.udemy.com/course/excel-vba-super-strong-arrays/,ajay parmar,19.99,11.99,4.5(3 ratings),Development,Programming Languages,Excel VBA,27,English,In-depth study of arrays from basic level to extreme advance,4/2018,12/31/19
Excel VBA Introduction- MIS Analytics Training Series1,www.udemy.com/course/excel-vba-mis-analytics-training/,ajay parmar,19.99,11.99,4.9(5 ratings),Development,Programming Languages,Automation,345,English,You will learn complete VBA here from scratch,1/2019,12/31/19
Automate your work : Advanced VBA,www.udemy.com/course/automate-your-work-advanced-vba/,ATI - Analytics Training Institute,19.99,11.39,2.8(6 ratings),Office Productivity,Microsoft,Excel VBA,75,English,"Embrace Excel Automation: Learn to run VBA (Macros), build dashboards, and automate reports with powerful case studies.",11/2017,12/31/19
Learn Excel VBA - Files and Folder handling - Series6,www.udemy.com/course/learn-excel-vba-files-and-folder-handling/,ajay parmar,19.99,11.39,4.2(3 ratings),Development,Programming Languages,Excel VBA,33,English,Work with filedialogs/files/folders efficiently and learn the art to copy /cut/modify the data inside these files.,11/2019,12/31/19
Excel Vba Amazing and Phenomenal Events - Series9,www.udemy.com/course/excel-vba-amazing-and-phenomenal-events/,ajay parmar,19.99,11.39,4.7(3 ratings),Development,Programming Languages,Excel VBA,18,English,You are going to learn amazing chapter here. Unleashing the power of VBA Events. Self trigger macros.,2/2019,12/31/19
Visual Basic of Applications: Become Excel VBA Programmer,www.udemy.com/course/excelvba/,Manoj Kumar,24.99,11.39,4.4(25 ratings),Office Productivity,Microsoft,Excel VBA,392,English,"Visual Basic for application (VBA) for Excel is to automate repetitive Task, Reduce work load & unlock real Excel Power.",6/2016,12/31/19
Excel VBA and Macros User Forms,www.udemy.com/course/mastering-excel-vba-userforms/,Muhammad Ali Yasin,154.99,11.39,4.2(32 ratings),Development,Programming Languages,Excel VBA,"5,269",English,Learn to create Awesome excel VBA Userforms,7/2017,12/31/19
Smart Data Collection with Excel UserForm,www.udemy.com/course/save-your-time-with-excel-userform/,Vladimir Zhbanko,199.99,11.39,4.0(6 ratings),Office Productivity,Microsoft,Excel VBA,80,English,"Save your time, let computer do the job! Data Collection and Reporting solution in Excel",4/2019,12/31/19
Excel VBA: Complete Understanding of VBA Components,www.udemy.com/course/excel-macros-the-complete-understanding-of-vba-components/,Lokesh Paliwal,19.99,11.39,4.0(26 ratings),Office Productivity,Microsoft,Excel VBA,746,English,"VBA is important in the industry, because its integration into Microsoft Office, especially Excel. You will probably nee",11/2017,12/31/19
Master MS Excel 2013 - Formulas and VBA programming,www.udemy.com/course/master-excel-2013-formulas-and-vba-programming/,Dan We,29.99,11.39,3.8(45 ratings),Office Productivity,Microsoft,Excel VBA,"2,517", English,Your personal journey to excel in excel,8/2019,12/31/19
Essential VBA Training for Excel - Automate Repetitive Tasks,www.udemy.com/course/essential-vba-training-for-excel/,Simon Sez IT,149.99,11.39,4.1(80 ratings),Office Productivity,Microsoft,Excel VBA,"2,400",English,Learn Microsoft VBA to automate your time-consuming procedures in Excel.,5/2019,12/31/19
Excel VBA Charts ( also 3 Surprise Tests for you ) Series 11,www.udemy.com/course/excel-vba-charts-bonus-3-surprise-tests-for-you/,ajay parmar,19.99,11.39,5.0(1 rating),Development,Programming Languages,Excel VBA,11,English,Indepth discussion on Making and modifying of Charts using Vba,3/2019,12/31/19
Excel Macros/VBA: Create 4 Real World Projects from Scratch,www.udemy.com/course/excel-macros-create-4-real-world-projects-from-scratch/,Think Forward Online Training,129.99,11.39,3.5(189 ratings),Office Productivity,Microsoft,Excel Macros,"23,052",English,Learn to solve any problem with Excel by watching me do it in real time. Experience full and uncut problem solving!,10/2017,12/31/19
"Excel Training (Indirect, count & sum family)- Series 3",www.udemy.com/course/excel-mis-analytics-training-series3/,ajay parmar,19.99,11.39,4.7(3 ratings),Office Productivity,Microsoft,Excel VBA,12,English,"INDIRECT ,Data Validation ,Name manager, Address, Count and Sum family functions including use of wild characters",2/2019,12/31/19
Automate your work : Basic VBA,www.udemy.com/course/automate-your-work-basic-vba/,ATI - Analytics Training Institute,19.99,11.39,3.9(18 ratings),Office Productivity,Microsoft,Excel VBA,303,English,"Embrace Excel Automation: Learn to run VBA (Macros), build dashboards, and automate reports with powerful case studies.",9/2015,12/31/19
Excel VBA and Macros programming for Absolute Beginners,www.udemy.com/course/ultimate-excel-vba-course-for-beginners/,Muhammad Ali Yasin,199.99,11.39,3.2(36 ratings),Development,Programming Languages,Excel VBA,"2,526",English,Learn to have better control over your excel books.,7/2017,12/31/19
Excel VBA Functions- MIS Analytics Series5,www.udemy.com/course/excel-vba-functions-mis-analytics/,ajay parmar,19.99,11.39,5.0(2 ratings),Development,Programming Languages,Excel VBA,17,English,Discussion on functions - User defined functions as well as vba in-built functions ( complete tutorial),2/2019,12/31/19
Microsoft Excel - VBA,www.udemy.com/course/microsoft-excel-vba/,eLearnExcel,19.99,11.39,3.6(163 ratings),Office Productivity,Microsoft,Excel VBA,697,English,"Extend your knowledge of recorded macros using Excel VBA. Learn about Forms, Loops, Defined Functions and Automation",9/2013,12/31/19
Excel Vba Error Handlers & Message/Input Boxes Series 8,www.udemy.com/course/error-handlers-with-message-input-box/,ajay parmar,19.99,11.99,5.0(1 rating),Development,Programming Languages,Excel VBA,15,English,"Covering ""On error resume next"" , ""goto error handlers"" and message input Boxes - Projects also shared with you",2/2019,12/31/19
